u algo SAMPLE-sum SAMPLE-min SAMPLE-max SAMPLE-mean SAMPLE-var SAMPLE-std volume_success-sum volume_success-min volume_success-max volume_success-mean volume_success-var volume_success-std throughput_success-sum throughput_success-min throughput_success-max throughput_success-mean throughput_success-var throughput_success-std ttc_for_successful_tx-sum ttc_for_successful_tx-min ttc_for_successful_tx-max ttc_for_successful_tx-mean ttc_for_successful_tx-var ttc_for_successful_tx-std volume_for_successful_tx-sum volume_for_successful_tx-min volume_for_successful_tx-max volume_for_successful_tx-mean volume_for_successful_tx-var volume_for_successful_tx-std runtime-sum runtime-min runtime-max runtime-mean runtime-var runtime-std count_success-sum count_success-min count_success-max count_success-mean count_success-var count_success-std 
8 retry-02-amp-2 10 1 1 1.0 0.0 0.0 8739835.233202 834454.77598 921662.410952 873983.5233201999 1125433325.4756057 33547.478675387894 374.44740974911025 35.63492699031796 39.659349671453 37.44474097491103 2.272089405404054 1.5073451513850615 5.4956776184900376 0.5459479463477521 0.5564886590382706 0.5495677618490038 1.3438298646375744e-05 0.0036658285074967355 239.2951989062877 22.786858983615513 25.211653334573406 23.92951989062877 0.7645124167040045 0.8743640069810767 233425.74791099998 23157.211827 23623.922253 23342.5747911 22280.617119288683 149.2669324374581 365213 36268 36691 36521.3 21893.122222222217 147.96324618709275 
8 redundancy-02-amp-2 10 1 1 1.0 0.0 0.0 10255432.870436 930514.601674 1065316.362601 1025543.2870436 1872981795.6872447 43277.95969875711 479.9758666907459 43.36826934802014 49.94666144426369 47.99758666907459 4.584625015579733 2.1411737471722683 4.184713791868148 0.41456235791016927 0.4222302053509195 0.4184713791868149 6.302293773667829e-06 0.0025104369686705596 274.0439232642436 25.032675176853548 28.347960686561997 27.404392326424357 1.2076859487537668 1.098947655147308 213687.76439800003 21238.991759 21494.362994 21368.776439800004 6455.874634868334 80.34845757616219 374197 37172 37580 37419.700000000004 15708.455555555553 125.33337765956662 
8 redundantretry-02-amp-2-10 10 1 1 1.0 0.0 0.0 10279812.397178998 988741.108747 1055360.051469 1027981.2397178998 453885532.2742443 21304.589465048237 481.288824321458 46.04949590993632 49.46804401680423 48.1288824321458 1.141293926178889 1.068313589812883 4.184530014918138 0.41469705018840697 0.4228400239371683 0.41845300149181386 6.9735409205175935e-06 0.0026407462809814944 274.71098386535596 26.467358426720562 28.109952361735566 27.471098386535598 0.3051924962546564 0.5524423012900591 213597.68456999998 21191.230815 21504.57737 21359.768457 10242.280662334904 101.20415338480385 374202 37271 37569 37420.200000000004 12302.399999999996 110.91618457195503 
10 retry-02-amp-2 10 1 1 1.0 0.0 0.0 9626614.61098 900709.049922 1005971.928789 962661.461098 970152180.6342949 31147.26602182437 404.29561991855434 37.709137050326206 42.29880511958528 40.42956199185544 1.9242801040212734 1.387184235788914 5.5418689103613445 0.5496335065397688 0.559612514671762 0.5541868910361345 1.1890169110794832e-05 0.0034482124515167033 261.63113096523176 24.513091931254085 27.222274416544895 26.163113096523176 0.6383562091545696 0.7989719701933038 238126.074545 23633.667993 23987.99191 23812.6074545 17223.962829531392 131.24009611978875 367929 36606 36954 36792.9 15217.655555555551 123.35986201174008 
10 redundancy-02-amp-2 10 1 1 1.0 0.0 0.0 11228389.689126 1052086.871427 1199247.827791 1122838.9689126 1750443046.6763194 41838.296412214484 526.5569341487857 49.20911189840672 56.43851336497294 52.65569341487857 4.266365084909868 2.0655181153671514 4.073019802920072 0.40362003591196804 0.41108614969390467 0.40730198029200726 5.811839447303164e-06 0.00241077569410826 297.20739960237813 27.8359316178167 31.74040779691925 29.720739960237815 1.1768327699151309 1.0848192337505502 213257.85586499996 21172.739713 21468.897845 21325.7855865 8279.455881936905 90.99151543928096 377788 37570 37927 37778.8 8507.288888888887 92.23496565234296 
10 redundantretry-02-amp-2-10 10 1 1 1.0 0.0 0.0 11312648.850044 1092408.33749 1182209.969811 1131264.8850044 770823308.9327056 27763.70488484391 530.5711295885844 51.200302959141766 55.416247832882036 53.05711295885845 1.9007376915791456 1.3786724381009239 4.073114158451418 0.40326370579207793 0.41147406271056053 0.4073114158451418 6.331945406095945e-06 0.002516335710134072 299.276189249964 29.03867167158652 31.090334511794868 29.9276189249964 0.47464277814268896 0.6889432328883773 213225.189585 21172.443083 21445.866389 21322.5189585 7484.095925426425 86.51066943115413 377990 37594 38025 37799.0 15042.666666666666 122.64854938671988 
15 retry-02-amp-2 10 1 1 1.0 0.0 0.0 10665418.056914 992026.850203 1114391.703053 1066541.8056914 1065460844.3011189 32641.397707529602 429.84647645386053 40.00278416693114 44.905874362332085 42.984647645386055 1.8450948272582728 1.3583426766682525 5.640497064793609 0.5572680865234059 0.571544652934614 0.5640497064793609 1.6245795046717956e-05 0.004030607280140048 288.3186059661002 26.854358306569935 29.984977883842323 28.831860596610024 0.7252429934664361 0.8516119970188514 248132.05350700003 24562.826681 25084.734649 24813.205350700006 19921.45387175285 141.14338054529105 369909 36751 37165 36990.9 15212.988888888887 123.34094571102042 
15 redundancy-02-amp-2 10 1 1 1.0 0.0 0.0 13262925.573857 1264476.662952 1377804.491948 1326292.5573857 1709090547.7041898 41341.148359766084 627.324964406783 59.6143336406393 65.06955465772985 62.732496440678304 4.1638046687591075 2.040540288443016 3.8596136583923837 0.3827518093292032 0.38929713779332303 0.3859613658392384 4.782574441699604e-06 0.002186909792766863 345.56750592032387 32.90166171294754 35.73885899429342 34.55675059203239 1.076520740722563 1.0375551747847258 211430.59784 20993.881848 21276.180555 21143.059784 8127.678079332072 90.1536359739976 383791 38221 38559 38379.1 12578.544444444442 112.1541102432026 
15 redundantretry-02-amp-2-10 10 1 1 1.0 0.0 0.0 13426660.393326001 1270872.344427 1421442.229023 1342666.0393326003 2651797388.2570386 51495.605523743856 617.7920535577726 58.352808033882106 65.40432212853312 61.779205355777265 5.799577364286435 2.408231169195855 4.086560004228052 0.40485879559666493 0.41256059848977994 0.40865600042280525 5.8136509641585505e-06 0.002411151377279857 349.4808103712279 33.06377564396285 36.79156798299469 34.94808103712279 1.6660638063845041 1.2907609408347094 217339.9283 21550.928361 21898.808827 21733.992830000003 8789.816646291245 93.75402202727756 384172 38279 38635 38417.200000000004 11286.844444444445 106.23956157874733 
20 retry-02-amp-2 10 1 1 1.0 0.0 0.0 11409925.887597999 1049168.673321 1199652.605971 1140992.5887598 2185366670.765499 46747.905522766465 445.50261485324387 40.7834139122496 47.10515730951193 44.55026148532439 3.7032562495554955 1.9243846417895503 5.707543190197122 0.5651026772708923 0.577468806914476 0.5707543190197123 1.5799736621081663e-05 0.003974888252653358 307.52734783974216 28.40581219225667 32.342623907338506 30.75273478397422 1.4774241251371723 1.2154933669655184 256139.078688 25372.114645 25842.326613 25613.9078688 20164.924443145348 142.00325504419027 371003 36935 37282 37100.3 13624.455555555553 116.72384313222193 
